# Logger type: CL3000
# HW rev: 7.2x
# FW rev: 5.78 / 4.00.03
# Logger ID: id001ezk
# Session No.: 15
# Split No.: 1
# Time: 20190425T172921
# Value separator: " "
# Time format: 5
# Time separator: ":"
# Time separator ms: ":"
# Date separator: "/"
# Time and date separator: " "
# Bit-rate: 500000
# Silent mode: false
# Cyclic mode: false
Timestamp Type ID Data
04/25 17:29:21:702 1 80401e 06030371002a7a00
04/25 17:29:21:703 1 a20016 0519840000636500
04/25 17:29:21:703 1 f00006 000032000000e000
04/25 17:29:21:703 1 1400006 0000000003f30215
04/25 17:29:21:708 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:708 1 d00022 0000000000000000
04/25 17:29:21:710 1 42406c 00a800006000c00f
04/25 17:29:21:710 1 1000020 00000001cc04c000
04/25 17:29:21:710 1 10400020 002947679b370db5
04/25 17:29:21:712 1 62401e 0214443ffa146400
04/25 17:29:21:713 1 80401e 1e03036c002a7a00
04/25 17:29:21:713 1 a20016 0019840000636500
04/25 17:29:21:713 1 f00006 000032000000e000
04/25 17:29:21:714 1 1400006 0000000003f30214
04/25 17:29:21:714 1 224024 1c48440013ff0000
04/25 17:29:21:714 1 e24026 000160408f000000
04/25 17:29:21:714 1 1600012 c00005076e5dc81a
04/25 17:29:21:715 1 10004002 80000000c000c000
04/25 17:29:21:715 1 10a2407c 02530c376d01aef0
04/25 17:29:21:715 1 10c00002 0000002000000000
04/25 17:29:21:718 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:718 1 d00022 0000000000000000
04/25 17:29:21:720 1 42406c 408a00006000c00f
04/25 17:29:21:720 1 1000020 00000001cc04c000
04/25 17:29:21:720 1 11100024 0000004c7e378000
04/25 17:29:21:722 1 62401e 0214443ffa146400
04/25 17:29:21:722 1 80401e 0601036c002a7a00
04/25 17:29:21:722 1 a20016 0119840000636500
04/25 17:29:21:723 1 f00006 000032000000e000
04/25 17:29:21:723 1 1400006 0000000003f30214
04/25 17:29:21:728 1 224024 1848440013ff0000
04/25 17:29:21:728 1 e24026 000160408f000000
04/25 17:29:21:728 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:729 1 d00022 0000000000000000
04/25 17:29:21:729 1 10004002 80000000c000c000
04/25 17:29:21:730 1 42406c 80e800006000c00f
04/25 17:29:21:730 1 1000020 00000001cc04c000
04/25 17:29:21:732 1 62401e 0214443ffa146400
04/25 17:29:21:732 1 80401e 1e01036c002a7a00
04/25 17:29:21:732 1 a20016 0019840000636500
04/25 17:29:21:733 1 f00006 000032000000e000
04/25 17:29:21:733 1 1400006 0000000003f30214
04/25 17:29:21:733 1 1600012 000005076e5dc81a
04/25 17:29:21:738 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:738 1 d00022 0000000000000000
04/25 17:29:21:740 1 42406c c08800006000c00f
04/25 17:29:21:740 1 1000020 00000001cc04c000
04/25 17:29:21:740 1 10400020 402947679b370db5
04/25 17:29:21:741 1 11220028 23600f3c0100342e
04/25 17:29:21:742 1 224024 1c48440013ff0000
04/25 17:29:21:742 1 e24026 0001e0408f000000
04/25 17:29:21:742 1 62401e 02144440fa146400
04/25 17:29:21:742 1 80401e 05ff0365002a7a00
04/25 17:29:21:743 1 a20016 0139840000636500
04/25 17:29:21:743 1 f00006 000032000000e000
04/25 17:29:21:743 1 1400006 0000000003f30214
04/25 17:29:21:744 1 10004002 80000000c000c000
04/25 17:29:21:744 1 10e24000 0000000000000000
04/25 17:29:21:748 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:748 1 d00022 0000000000000000
04/25 17:29:21:749 1 11000022 01bbcc000055034a
04/25 17:29:21:749 1 10800006 0080006f00000100
04/25 17:29:21:750 1 42406c 00a800006000c00f
04/25 17:29:21:750 1 1000020 00000001cc04c000
04/25 17:29:21:752 1 62401e 02144440fa146400
